IPAddress,Duration (in seconds),Finished,RecordedDate,ResponseId,consent,ID,browser_info_Resolution,timer_pitch_deck_First Click,timer_pitch_deck_Last Click,timer_pitch_deck_Page Submit,timer_pitch_deck_Click Count,timer_mc_quality_First Click,timer_mc_quality_Last Click,timer_mc_quality_Page Submit,timer_mc_quality_Click Count,invest_prob_1,cvpa_v_1,cvpa_v_2,cvpa_v_3,cvpa_v_4,cvpa_a_1,cvpa_a_2,cvpa_a_3,cvpa_a_4,cvpa_r_1,cvpa_r_2,cvpa_r_3,age,gender,invest_experience,attention_check,attention_check_99_TEXT,comprehension_check,PROLIFIC_PID,fluency_condition,quality_condition,device
11,201,TRUE,2022-11-30T14:31:15Z,R_2wB2sGfpEGA4mXx,yes,11,2048x1152,8.5,8.5,112.549,1,7.477,7.477,8.273,1,40,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,39,Female,5,Once a week,NA,HR technology,11,high,high,NA
12,359,TRUE,2022-11-30T14:33:15Z,R_2eQqt8ta5HJt9N6,yes,12,1366x768,13.372,13.372,115.624,1,5.8,5.8,7.691,1,41,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,22,Male,0,Other,I have read this text carefully,HR technology,12,low,low,NA
13,343,TRUE,2022-11-30T14:34:14Z,R_210VAPZXTBYYgCe,yes,13,1920x1080,7.389,7.389,75.168,1,6.284,146.372,147.198,2,40,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,35,Male,3,Other,I have read this text carefully,HR technology,13,low,low,NA
14,530,TRUE,2022-11-30T14:35:18Z,R_1joWSS0mfmMN5DJ,yes,14,1920x1080,23.241,23.241,141.345,1,5.55,8.068,9.089,3,23,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,48,Female,5,Other,I have read this text carefully,HR technology,14,low,low,NA
15,372,TRUE,2022-11-30T14:35:56Z,R_1LXL9Ly1TAfXSuT,yes,15,1366x768,7.449,219.758,221.971,3,6.929,6.929,8.538,1,15,Agree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,24,Male,1,Other,I have read this text carefully,HR technology,15,high,high,NA
16,270,TRUE,2022-11-30T14:36:31Z,R_3hmzEMKQdS7jcQ3,yes,16,393x873,6.88,72.995,73.54,3,4.321,10.488,10.99,2,68,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,54,Female,5,Other,'I have read this text carefully',HR technology,16,high,high,mobile
17,316,TRUE,2022-11-30T14:37:14Z,R_1ocnyjIMtcDCufx,yes,17,412x915,6.354,175.267,175.873,3,8.853,8.853,9.463,1,15,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,29,Male,0,Other,I have read this text carefully,HR technology,17,low,high,mobile
18,244,TRUE,2022-11-30T14:37:15Z,R_0USuNHF2KDNqRwd,yes,18,1280x720,7.148,7.148,145.514,1,4.771,7.167,7.956,2,43,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,35,Female,2,Other,I have read this text carefully,HR technology,18,low,low,NA
19,271,TRUE,2022-11-30T14:37:37Z,R_10Smhmj3vTQE97C,yes,19,768x1024,14.474,127.044,128.408,5,6.84,6.84,7.612,1,26,Strongly disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,49,Female,3,Other,I have read this text carefully,HR technology,19,low,high,NA
20,223,TRUE,2022-11-30T14:39:12Z,R_1NwAD5OqunSJBie,yes,20,1920x1080,0,0,3.202,0,21.813,21.813,24.67,1,62,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,34,Male,5,Other,I have read this text carefully,Medical innovation,20,low,low,NA
21,495,TRUE,2022-11-30T14:39:32Z,R_1FOK13rwG1C6jtM,yes,21,1280x800,12.599,12.599,309.416,1,5.929,5.929,6.892,1,70,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50,Female,10,Other,I have read this text carefully,HR technology,21,low,low,NA
22,266,TRUE,2022-11-30T14:40:02Z,R_1oBbqCXNUo7alWq,yes,22,1920x1080,5.082,5.082,136.383,1,7.294,7.294,7.962,1,30,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,25,Male,0,Other,I have read this text carefully,HR technology,22,high,low,NA
23,352,TRUE,2022-11-30T14:41:08Z,R_2qjXQAnu1OP8F6Y,yes,23,375x812,11.685,15.223,221.512,2,8.931,8.931,9.601,1,30,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Agree,37,Female,2,Other,I have read this text carefully,HR technology,23,high,high,mobile
24,408,TRUE,2022-11-30T14:41:16Z,R_2wiX1CpcWN9CzcE,yes,24,1536x864,23.934,23.934,271.158,1,8.655,8.655,9.619,1,90,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,30,Male,2,Other,I have read this text carefully,HR technology,24,high,low,NA
25,331,TRUE,2022-11-30T14:42:23Z,R_2RQR2qLKjtcBAtv,yes,25,1920x1080,13.637,19.221,260.598,2,3.434,3.434,4.022,1,85,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,37,Male,1,Other,I have read this text carefully,HR technology,25,high,low,NA
26,136,TRUE,2022-11-30T14:42:29Z,R_1dK0pSjnKD4Gsoc,yes,26,414x896,0.604,1.086,7.75,2,2.958,2.958,3.551,1,60,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,42,Male,7,Other,I have read this text carefully,HR technology,26,high,low,mobile
27,855,TRUE,2022-11-30T14:42:30Z,R_3sjeA6uHc0qYh2H,yes,27,388x861,31.538,333.243,336.36,2,8.911,8.911,10.006,1,85,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,64,Male,10,4-6 times a week,NA,HR technology,27,low,low,mobile
28,334,TRUE,2022-11-30T14:43:38Z,R_2eXcCZP9C4xEZdj,yes,28,1536x864,4.162,4.162,206.642,1,2.068,8.175,9.755,2,60,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,37,Male,3,Other,I have read this text carefully,HR technology,28,high,low,NA
29,347,TRUE,2022-11-30T14:44:21Z,R_2YabKzBnxOokexx,yes,29,1138x640,18.269,18.269,208.543,1,3.501,3.501,5.253,1,65,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,52,Female,10,Other,I have read this text carefully,HR technology,29,low,high,NA
30,746,TRUE,2022-11-30T14:44:48Z,R_2uUtajVjQUvZs9l,yes,30,1280x800,21.318,21.318,481.04,1,25.118,25.118,27.571,1,10,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,70,Male,44,Other,I have read this text carefully,HR technology,30,low,low,NA
31,99,TRUE,2022-11-30T14:44:56Z,R_1jj2aayQTkrwvog,yes,31,1280x720,0,0,5.705,0,5.882,5.882,6.752,1,20,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,36,Male,1,Once a week,NA,Sports analytics,31,low,high,NA
32,127,TRUE,2022-11-30T14:44:58Z,R_1fkK653WhnUIDEt,yes,32,768x1024,0,0,0.803,0,1.2,3.414,4.404,3,71,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,42,Male,0,Other,I have read this text carefully,HR technology,32,low,low,mobile
33,203,TRUE,2022-11-30T14:45:04Z,R_3qJSUqaXcNxqPnR,yes,33,1600x900,14.958,14.958,107.245,1,6.75,6.75,7.283,1,100,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,33,Male,6,Other,I have read this text carefully,HR technology,33,low,low,NA
34,497,TRUE,2022-11-30T14:45:08Z,R_1r8hrrQu8Jt00M8,yes,34,1366x768,17.529,29.218,137.666,2,112.562,115.032,117.559,2,42,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,59,Female,12,Other,I have read this text carefully,HR technology,34,high,high,NA
35,125,TRUE,2022-11-30T14:46:05Z,R_3j6BHS5x4sYcCA7,yes,35,1280x720,4.762,4.762,32.675,1,4.469,4.469,5.173,1,58,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,27,Male,6,Other,I have read this text carefully,HR technology,35,high,low,NA
36,339,TRUE,2022-11-30T14:46:29Z,R_XBvmhJ4lr0K2lpf,yes,36,1920x1080,7.704,7.704,179.395,1,6.16,6.16,6.804,1,60,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,27,Female,0,Other,I have read this text carefully,HR technology,36,high,high,NA
37,117,TRUE,2022-11-30T14:46:29Z,R_2RQA9CFVvgkkG1Y,yes,37,480x1067,3.282,3.282,4.665,1,1.38,2.255,2.992,2,13,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,37,Male,1,Other,I have read this text carefully,HR technology,37,low,low,mobile
38,485,TRUE,2022-11-30T14:46:45Z,R_5AdJ2tHgcGMorp7,yes,38,1536x864,19.898,19.898,357.054,1,4.878,4.878,5.46,1,70,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,34,Female,2,Other,I have read this text carefully,HR technology,38,low,low,NA
39,380,TRUE,2022-11-30T14:48:14Z,R_RgmtxaAybnohE4h,yes,39,1536x864,9.905,15.894,242.942,2,8.447,8.447,9.611,1,80,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,38,Female,1,Other,I have read this carefully,HR technology,39,low,high,NA
40,631,TRUE,2022-11-30T14:48:16Z,R_1JFpHwOat5tR0X8,yes,40,1024x1366,22.627,24.731,479.226,2,9.589,9.589,10.422,1,25,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,55,Male,2,Once a week,NA,HR technology,40,high,high,NA
41,406,TRUE,2022-11-30T14:48:43Z,R_5nI4FwnmDFrZ58l,yes,41,1024x768,18.704,19.393,217.26,2,6.838,6.838,8.189,1,5,Neither agree nor disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,57,Female,12,Other,I have read this text carefully,HR technology,41,high,high,mobile
42,329,TRUE,2022-11-30T14:49:01Z,R_wY8EZVuUXMeWqhH,yes,42,1280x720,9.919,9.919,214.136,1,4.168,4.168,5.542,1,29,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,55,Female,20,Other,I have read this text carefully,HR technology,42,low,high,NA
43,214,TRUE,2022-11-30T14:49:37Z,R_3hyIdLRknxycVMK,yes,43,390x844,3.614,90.215,92.955,3,10.361,10.361,11.047,1,30,Agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,34,Female,3,Other,I have read this text carefully,HR technology,43,high,high,mobile
44,330,TRUE,2022-11-30T14:49:52Z,R_2U9oaJZXIiXViWi,yes,44,1366x768,20.778,44.253,80.817,3,9.048,9.048,10.986,1,66,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,65,Male,5,2-3 times a week,NA,Medical innovation,44,low,high,NA
45,735,TRUE,2022-11-30T14:49:59Z,R_3gNtoEm5Z7u6YKZ,yes,45,1366x768,14.172,338.336,339.257,2,7.002,11.004,12.502,2,40,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,55,Male,0,Other,I have read this text carefully,HR technology,45,low,high,NA
46,167,TRUE,2022-11-30T14:50:41Z,R_2CWxdQIgILH73VZ,yes,46,1280x720,9.991,84.453,85.378,3,3.119,4.05,5.016,2,36,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,44,Male,3,Other,'I have read this text carefully ',HR technology,46,low,high,NA
47,385,TRUE,2022-11-30T14:50:45Z,R_3FK8KSwGXvBvSld,yes,47,1795x1010,12.06,12.06,206.79,1,6.61,6.61,7.838,1,35,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50,Male,0,Other,I have read the text carefully,HR technology,47,high,low,NA
48,294,TRUE,2022-11-30T14:51:08Z,R_3KHZJMGYTITz2MZ,yes,48,1920x1080,10.878,10.878,187.18,1,6.082,6.082,7.231,1,20,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,57,Female,10,Other,I have read this text carefully,HR technology,48,high,low,NA
49,178,TRUE,2022-11-30T14:51:25Z,R_3nl03oB6Wtht5wK,yes,49,1680x1050,5.321,5.321,17.839,1,4.145,4.145,5.1,1,60,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,31,Male,2,Other,I have read this text carefully,HR technology,49,high,high,NA
50,362,TRUE,2022-11-30T14:51:48Z,R_R2mFgmdW9B7yJnX,yes,50,1920x1080,11.622,11.622,239.028,1,6.282,6.282,7.207,1,27,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,44,Male,10,Other,I have read this text carefully,HR technology,50,low,low,NA
51,569,TRUE,2022-11-30T14:51:59Z,R_p00f8miSC1sEEcp,yes,51,1280x720,22.922,22.922,370.465,1,17.527,25.87,26.961,2,20,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,55,Male,10,Other,I have read this text carefully,HR technology,51,high,high,NA
52,547,TRUE,2022-11-30T14:52:04Z,R_2VClcpPJxSaJ82l,yes,52,412x915,22.148,22.148,315.723,1,6.941,6.941,7.569,1,30,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,51,Male,2,Other,I have read this text carefully,HR technology,52,high,low,mobile
53,442,TRUE,2022-11-30T14:52:15Z,R_2uDt7ZKcEjFZurY,yes,53,1280x720,8.482,314.983,315.784,3,6.36,6.36,7.355,1,75,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,39,Male,0,Other,I have read this text carefully,HR technology,53,low,high,NA
54,377,TRUE,2022-11-30T14:52:32Z,R_2Y5G5b9mKl8XKuz,yes,54,1920x1080,11.823,11.823,144.249,1,3.555,5.957,6.703,4,70,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,51,Male,25,Other,I have read this text carefully,HR technology,54,high,low,NA
55,64,TRUE,2022-11-30T14:52:36Z,R_2VLcKh9zQBmEDoO,yes,55,320x694,0.275,0.275,2.509,1,2.277,2.277,3.727,1,24,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,44,Male,0,Every day,NA,HR technology,55,low,low,mobile
56,392,TRUE,2022-11-30T14:52:46Z,R_12hFUWJfNiYks6i,yes,56,1024x640,24.129,24.129,277.252,1,8.883,8.883,10.146,1,9,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,56,Female,10,Other,I have read this text carefully,HR technology,56,low,high,NA
57,329,TRUE,2022-11-30T14:52:48Z,R_1QfqpwlH8sZ86OJ,yes,57,1920x1080,3.865,8.154,212.161,2,3.45,5.91,9.864,2,60,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,31,Female,6,Other,I have read this text carefully,HR technology,57,low,high,NA
58,429,TRUE,2022-11-30T14:52:59Z,R_3pliuNTgJMrUgA3,yes,58,1536x864,11.748,193.982,194.472,2,3.217,3.217,4.045,1,22,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,57,Female,25,Other,I have read this text carefully,HR technology,58,high,low,NA
59,202,TRUE,2022-11-30T14:53:13Z,R_1pVWbVTHt5yaoS9,yes,59,1920x1080,3.81,3.81,101.642,1,4.076,6.501,9.101,2,57,Agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,31,Female,2,Once a week,NA,HR technology,59,high,low,NA
60,186,TRUE,2022-11-30T14:53:22Z,R_3JC3VTnK86cKKZl,yes,60,412x915,2.564,94.372,95.022,5,2.35,3.202,3.965,2,0,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,40,Female,0,Other,I have read the text carefully,HR technology,60,low,low,mobile
61,279,TRUE,2022-11-30T14:53:23Z,R_3JeFuog9coMcciZ,yes,61,1920x1080,6.999,6.999,126.783,1,6.572,6.572,7.609,1,41,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,32,Female,0,Other,I have read this text carefully,HR technology,61,high,low,NA
62,244,TRUE,2022-11-30T14:53:35Z,R_6sXirKiOpAVSgUh,yes,62,1536x864,9.962,9.962,157.349,1,4.542,4.542,5.635,1,34,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,49,Female,20,Other,I have read this text carefully,HR technology,62,high,high,NA
63,152,TRUE,2022-11-30T14:53:55Z,R_1l9kVLODRKNmA2h,yes,63,1536x864,11.642,11.642,37.575,1,29.032,29.032,30.244,1,34,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,44,Female,5,Other,I have read this text carefully,HR technology,63,high,high,NA
64,284,TRUE,2022-11-30T14:54:26Z,R_6Xzo7Qy032AGAHn,yes,64,1366x768,18.315,18.315,166.309,1,1.479,9.418,10.085,2,70,Neither agree nor disagree,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,30,Male,0,Other,I have read this text carefully,HR technology,64,high,high,NA
65,499,TRUE,2022-11-30T14:54:53Z,R_2t57BmV85u0j4aW,yes,65,1670x940,13.609,13.609,259.673,1,3.686,3.686,4.875,1,89,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,57,Male,20,Other,I have read this text carefully,HR technology,65,high,high,NA
66,253,TRUE,2022-11-30T14:55:46Z,R_31GwyehvP5WStDg,yes,66,1920x1200,5.819,5.819,74.675,1,2.867,2.867,4.249,1,0,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,42,Male,4,Other,I have read this text carefully,HR technology,66,high,high,NA
67,284,TRUE,2022-11-30T14:55:50Z,R_1C4oQqz5EXRvXML,yes,67,1280x720,14.191,16.791,182.808,2,4.349,4.349,5.489,1,33,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,32,Female,4,Other,I have read this text carefully,HR technology,67,high,low,NA
68,303,TRUE,2022-11-30T14:56:00Z,R_2RaoaO74pTPfTFM,yes,68,1440x900,0,0,3.757,0,152.186,157.099,179.027,2,30,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,26,Male,4,Other,i have read this carefully,HR technology,68,high,low,NA
69,247,TRUE,2022-11-30T14:56:05Z,R_2pK3k0z6Qz6uzTI,yes,69,1366x768,0.931,8.25,101.395,3,4.381,5.641,6.816,2,60,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,34,Male,6,Other,I have read this text carefully,HR technology,69,low,high,NA
70,333,TRUE,2022-11-30T14:56:22Z,R_1hW5EeCCgOUXLQ4,yes,70,1366x768,25.609,25.609,180.45,1,13.185,20.019,21.724,2,60,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,72,Male,15,4-6 times a week,NA,HR technology,70,low,high,NA
71,686,TRUE,2022-11-30T14:56:26Z,R_2U3ZIADFnYFp8t9,yes,71,810x1080,23.188,23.188,484.206,1,10.151,16.135,17.168,2,40,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,60,Male,6,Other,I have read this text carefully.,HR technology,71,low,high,NA
