Age,Sex,Ethnicity simplified,Country of residence,Nationality,Employment status,ID
39,Male,White,United Kingdom,United Kingdom,Full-Time,54
NA,NA,NA,NA,NA,NA,63
52,Male,White,Canada,Canada,Other,101
66,Female,White,United Kingdom,United Kingdom,Part-Time,152
52,Female,White,United Kingdom,United Kingdom,Part-Time,78
61,Female,White,United Kingdom,United Kingdom,NA,58
33,Male,White,United Kingdom,United Kingdom,Full-Time,43
68,Female,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",74
48,Female,White,United Kingdom,United Kingdom,Full-Time,50
23,Female,White,United States,United States,NA,46
35,Female,White,Germany,Germany,NA,119
NA,NA,NA,NA,NA,NA,51
44,Female,White,United Kingdom,United Kingdom,NA,66
49,Male,White,United Kingdom,United Kingdom,Unemployed (and job seeking),88
48,Male,Asian,United Kingdom,United Kingdom,NA,112
23,Female,White,United Kingdom,United Kingdom,Full-Time,69
NA,NA,NA,NA,NA,NA,59
25,Female,White,Canada,Canada,Full-Time,76
NA,NA,NA,NA,NA,NA,48
73,Male,White,United Kingdom,United Kingdom,Full-Time,120
21,Male,Other,Israel,Israel,Part-Time,45
57,Male,White,United Kingdom,United Kingdom,Part-Time,116
49,Female,Asian,United States,United States,Full-Time,60
24,Male,White,United Kingdom,United Kingdom,NA,65
35,Male,White,United Kingdom,Italy,NA,75
56,Female,White,United Kingdom,United Kingdom,Full-Time,56
73,Male,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",92
31,Male,Other,Canada,Canada,Full-Time,73
57,Female,White,United Kingdom,United Kingdom,Full-Time,64
42,Male,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",80
37,Male,Mixed,United Kingdom,Italy,Due to start a new job within the next month,67
43,Male,White,United Kingdom,United Kingdom,Full-Time,95
31,Male,White,United Kingdom,United Kingdom,Part-Time,71
51,Female,White,United Kingdom,United Kingdom,Full-Time,102
80,Male,White,United Kingdom,United Kingdom,NA,96
54,Male,White,United Kingdom,United Kingdom,Full-Time,93
32,Female,Asian,United Kingdom,China,NA,77
50,Female,White,United Kingdom,United Kingdom,NA,83
52,Male,White,United States,United States,NA,81
32,Male,Black,United Kingdom,United States,Full-Time,145
87,Female,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",86
34,Male,White,United Kingdom,Sweden,"Not in paid work (e.g. homemaker', 'retired or disabled)",134
25,Male,White,France,France,Unemployed (and job seeking),82
74,Female,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",113
55,Male,White,United Kingdom,Germany,Full-Time,104
35,Female,Black,Canada,Canada,Full-Time,98
47,Male,Other,United Kingdom,United Kingdom,NA,68
34,Male,White,United States,United States,Unemployed (and job seeking),94
63,Female,White,United Kingdom,United Kingdom,NA,85
21,Male,Other,United Kingdom,United Kingdom,Full-Time,97
58,Female,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",144
34,Male,White,United States,United States,Full-Time,90
61,Female,White,United Kingdom,United Kingdom,NA,105
NA,NA,NA,NA,NA,NA,72
56,Female,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",91
47,Male,White,United Kingdom,United Kingdom,NA,114
31,Male,Mixed,Canada,Canada,NA,132
45,Female,White,United Kingdom,United Kingdom,Full-Time,103
32,Female,Asian,United Kingdom,United Kingdom,NA,139
68,Male,White,United Kingdom,United Kingdom,NA,126
33,Male,White,United Kingdom,United Kingdom,NA,87
60,Female,White,United Kingdom,United Kingdom,Full-Time,99
30,Female,White,United Kingdom,United Kingdom,Full-Time,89
33,Male,White,United Kingdom,United Kingdom,Full-Time,84
39,Female,White,United Kingdom,United Kingdom,Full-Time,133
21,Male,Asian,United Kingdom,United Kingdom,Full-Time,100
53,Male,White,United Kingdom,United Kingdom,NA,107
37,Female,White,United Kingdom,United Kingdom,NA,141
32,Male,White,France,France,Full-Time,110
51,Female,White,United Kingdom,United Kingdom,Full-Time,117
24,Female,Asian,United Kingdom,United Kingdom,Full-Time,148
37,Male,White,United Kingdom,United Kingdom,Full-Time,108
32,Male,White,United Kingdom,United Kingdom,Full-Time,109
36,Male,White,United Kingdom,United Kingdom,Full-Time,140
47,Female,White,United States,United States,NA,153
40,Male,White,United Kingdom,United Kingdom,Full-Time,138
38,Female,White,United Kingdom,United Kingdom,Full-Time,137
67,Female,White,United Kingdom,United Kingdom,Full-Time,128
61,Female,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",149
66,Female,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",122
42,Male,White,United Kingdom,Portugal,Full-Time,106
33,Male,Mixed,United Kingdom,France,Full-Time,125
71,Male,White,Canada,Canada,Other,147
NA,NA,NA,NA,NA,NA,111
41,Male,Asian,United Kingdom,United Kingdom,NA,135
25,Male,White,United Kingdom,United Kingdom,Due to start a new job within the next month,118
36,Male,White,United Kingdom,United Kingdom,NA,115
42,Male,White,United States,Australia,Part-Time,146
36,Male,Black,United Kingdom,United Kingdom,Full-Time,159
44,Female,White,United Kingdom,United Kingdom,NA,124
79,Female,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",123
53,Male,Other,Canada,Canada,Full-Time,142
28,Male,White,Germany,Germany,Full-Time,127
76,Male,White,Canada,Canada,"Not in paid work (e.g. homemaker', 'retired or disabled)",158
55,Male,White,United Kingdom,United Kingdom,Full-Time,130
41,Female,White,United Kingdom,United Kingdom,Full-Time,154
34,Male,Asian,Canada,Canada,Full-Time,121
73,Male,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",156
72,Female,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",151
46,Male,White,United Kingdom,United Kingdom,Part-Time,150
21,Male,White,United Kingdom,United Kingdom,Unemployed (and job seeking),136
41,Female,White,Canada,Canada,NA,131
60,Male,White,United Kingdom,United Kingdom,Full-Time,155
63,Male,White,United Kingdom,United Kingdom,Part-Time,160
33,Male,White,United Kingdom,United Kingdom,Unemployed (and job seeking),157
46,Male,Asian,United Kingdom,United Kingdom,Full-Time,162
NA,NA,NA,NA,NA,NA,161
71,Male,White,United Kingdom,United Kingdom,Part-Time,164
46,Female,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",166
31,Male,White,United Kingdom,United Kingdom,Full-Time,165
52,Female,White,United Kingdom,Estonia,Full-Time,167
28,Male,Black,Germany,Togo,Part-Time,168
66,Male,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",169
48,Male,White,United Kingdom,United Kingdom,NA,171
38,Male,White,United Kingdom,United Kingdom,Full-Time,172
43,Male,White,United Kingdom,Ukraine,Part-Time,170
