uuid,Investor type,hard_bounce,date_first_click,date_reply,positive,category
0259201cf194f91ccb5d3059843d5d00@prksq.com,Venture Capital,0,NA,NA,NA,NA
025a40324bf53a80165e4f436454f126@prksq.com,Venture Capital,0,NA,NA,NA,NA
025b76869737efc8b3f801bac861deb0@prksq.com,Angel,0,NA,NA,NA,NA
02619f584ce97666ce147c95526b8dd6@prksq.com,Angel,0,2023-01-18,NA,NA,NA
02698e977129d936a5a832a8f740016c@prksq.com,Angel,0,NA,NA,NA,NA
026a9771e08713b0b1333d66f50e042e@prksq.com,Venture Capital,0,NA,NA,NA,NA
026bea0d5e1c828d9898ab64aa4b0f65@prksq.com,Angel,0,NA,NA,NA,NA
026ca15f440c4656f4f375c267918aa6@prksq.com,Venture Capital,0,2023-01-17,NA,NA,NA
026ce40bbe52ed360368495c8330195f@prksq.com,Angel,0,NA,NA,NA,NA
02704650135fc2000b7c1f579fb6261d@prksq.com,Angel,0,2023-01-19,NA,NA,NA
02712ace9162b47c747ed8bcc9edb189@prksq.com,Angel,0,NA,NA,NA,NA
02721e5d920c8764c002add87600fef4@prksq.com,Angel,0,NA,NA,NA,NA
027224d17de7971854738f749dec1c34@prksq.com,Angel,0,2023-01-18,NA,NA,NA
02758a87ec5bc2bfe68b32ed45f6473c@prksq.com,Angel,0,2023-01-16,NA,NA,NA
0276bca1c61ae5e2c8436d0d1f305439@prksq.com,Angel,0,NA,NA,NA,NA
027f612f76c05ff0d1b7521e0f9a750e@prksq.com,Angel,1,NA,NA,NA,NA
02810dfb767cfc7c84ec785eb1d705c6@prksq.com,Angel,0,NA,NA,NA,NA
028395063405765220ea07b7c2b79a09@prksq.com,Angel,0,NA,NA,NA,NA
0285cf277e6fafdf9b02dc8ef74e002f@prksq.com,Venture Capital,0,NA,NA,NA,NA
028fa1a3116729a33fc39c8112ec7fa0@prksq.com,Angel,0,2023-01-16,NA,NA,NA
02907065ed050528fbe7d7b6f0482175@prksq.com,Venture Capital,0,2023-01-18,NA,NA,NA
0291be4fa987bafe63974e3a64fae4ba@prksq.com,Angel,0,2023-01-18,NA,NA,NA
029349d25f137fa2d50529d591ab05fb@prksq.com,Venture Capital,0,NA,NA,NA,NA
0294031b61489907e7da7b9861604357@prksq.com,Venture Capital,0,NA,NA,NA,NA
02952235aff9e4517fcaa8fb85d4daf6@prksq.com,Angel,1,NA,NA,NA,NA
029bce8d6559f1e2c98c71490c7d88ed@prksq.com,Angel,0,2023-01-17,NA,NA,NA
029e4c1911038e862b58399f0bb5ee32@prksq.com,Angel,0,2023-01-19,2023-01-19,1,more info/clarification
02a1b7b9d8f5b07eebd2c8088e7fb693@prksq.com,Angel,0,NA,NA,NA,NA
02a225dca9d0acd813fc5451feddd25b@prksq.com,Angel,0,NA,NA,NA,NA
02a34517a3360dc414b9330c3de533b7@prksq.com,Angel,0,NA,NA,NA,NA
02a3e3638e9fbd9fb4cde51415da27f6@prksq.com,Angel,0,NA,NA,NA,NA
02a805a8a6dd83e488fe333f8b3ea714@prksq.com,Angel,0,NA,NA,NA,NA
02aa7e00fd4aa127149faa87f48f72bb@prksq.com,Angel,0,NA,NA,NA,NA
02af649b61a4727537b8f27efa88d903@prksq.com,Venture Capital,0,NA,NA,NA,NA
02b63f0eae34673b67547c8103ad3350@prksq.com,Angel,1,NA,NA,NA,NA
02b82a12b75ffdd0c7fe0149b5d60ddd@prksq.com,Angel,0,NA,NA,NA,NA
02ba6808e5006657cda22604851af599@prksq.com,Angel,0,NA,NA,NA,NA
02c36d6f64d82361b9ef2d1e53fcf78f@prksq.com,Venture Capital,0,NA,NA,NA,NA
02c72f824e5a82b98437b8102e9a3c56@prksq.com,Angel,0,NA,NA,NA,NA
02c791b9c7373f1cd5ff57ede50855d2@prksq.com,Angel,0,NA,NA,NA,NA
02c89d3c8506fa6b372966d8fe08e380@prksq.com,Venture Capital,0,NA,NA,NA,NA
02c9418ce2e674a2749b66a51c29ccdf@prksq.com,Venture Capital,1,NA,NA,NA,NA
02cb04efb1759985ae2f0a17bdc49505@prksq.com,Angel,0,NA,NA,NA,NA
02ceb411144dd25195eb6d0ac2dbb468@prksq.com,Angel,0,2023-01-18,NA,NA,NA
02cef4b44f596b1644d467f55177b317@prksq.com,Venture Capital,0,NA,NA,NA,NA
02d02e5c009b3072a1f3a5d4b4c095ae@prksq.com,Angel,0,NA,NA,NA,NA
02d11d744cc7d138afd6cd4d90293931@prksq.com,Angel,0,NA,NA,NA,NA
02d1c8fb7dba735bc43797fb7aabe30c@prksq.com,Angel,0,NA,NA,NA,NA
02d1d51d66def9f6306d4ff3f125de2b@prksq.com,Angel,1,NA,NA,NA,NA
02d446ac04b1323e94a1fb11aebdb6e8@prksq.com,Angel,0,NA,NA,NA,NA
02d4472f87600bbbdb3eb0377bd59096@prksq.com,Angel,1,NA,NA,NA,NA
02d7f78cbda4d4382af16f4c915d5c34@prksq.com,Angel,0,NA,NA,NA,NA
02dabde2d863d74332d06b2e5176ddd3@prksq.com,Angel,0,2023-01-16,NA,NA,NA
02dd19d2749da674e1b35d45eb3d5535@prksq.com,Angel,0,NA,NA,NA,NA
02dd852078dc8ca4b238ee930833a8a6@prksq.com,Venture Capital,0,NA,NA,NA,NA
02debeb04d5571aef1b64f9386fdc389@prksq.com,Angel,0,NA,NA,NA,NA
02df3e11ace06b87ec2a66a06fe46550@prksq.com,Angel,0,NA,NA,NA,NA
02e4fadd2ef86e96a89df838220a4be2@prksq.com,Angel,1,NA,NA,NA,NA
02e5ddc3baba360e260e1ce3e2d02a21@prksq.com,Angel,0,NA,NA,NA,NA
02e5df32ca5f4bd9ca3dcecd96c281d9@prksq.com,Angel,0,NA,NA,NA,NA
02e74f8dc70dc57455c7debfc0ef88e4@prksq.com,Angel,0,NA,NA,NA,NA
02e8e357ff82fa4450fd97dee9fa454d@prksq.com,Angel,1,NA,NA,NA,NA
02e8fc622248846157bf93ad6a456052@prksq.com,Venture Capital,0,NA,NA,NA,NA
02e9253279e83ceffdaa678b56415469@prksq.com,Angel,0,NA,NA,NA,NA
02e9d5ab9b2b0f5f0848fa0ff158e508@prksq.com,Angel,0,NA,NA,NA,NA
02eddb4981b3f9bbc97a5e74d3734bd9@prksq.com,Venture Capital,0,NA,NA,NA,NA
02ede6ca649227c72f51dc20e06974d9@prksq.com,Angel,0,2023-01-18,NA,NA,NA
02eef8d51866247defd483474a584c38@prksq.com,Angel,1,NA,NA,NA,NA
02f1c54400b4f47aee229a89bf7daeef@prksq.com,Angel,0,NA,NA,NA,NA
02f204a969a99f2a92d2c900aec4c849@prksq.com,Venture Capital,0,2023-01-16,NA,NA,NA
