IPAddress,Duration (in seconds),Finished,RecordedDate,ResponseId,consent,ID,browser_info_Resolution,timer_pitch_deck_First Click,timer_pitch_deck_Last Click,timer_pitch_deck_Page Submit,timer_pitch_deck_Click Count,invest_prob_1,fluency_1,quality,cvpa_v_1,cvpa_v_2,cvpa_v_3,cvpa_v_4,cvpa_a_1,cvpa_a_2,cvpa_a_3,cvpa_a_4,cvpa_r_1,cvpa_r_2,cvpa_r_3,age,gender,invest_experience,attention_check,attention_check_99_TEXT,comprehension_check,PROLIFIC_PID,fluency_condition,quality_condition,device
22,257,TRUE,2022-12-21T14:47:08Z,R_3I0kcJniAM45W3a,yes,22,1280x720,7.706,114.378,116.038,4,50,75,5,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,35,Male,2,Other,I have read this text carefully,Medical innovation,22,high,high,NA
23,602,TRUE,2022-12-21T14:49:31Z,R_3IQrMqAcisDEkc9,yes,23,1280x1024,15.079,15.079,217.647,1,60,24,5,Agree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Disagree,55,Male,12,Other,I have read this text carefully,Medical innovation,23,low,low,NA
24,127,TRUE,2022-12-21T14:49:35Z,R_2399A66bglHrjW6,yes,24,1366x768,5.074,49.206,49.94,3,0,34,4,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,52,Male,10,4-6 times a week,NA,Medical innovation,24,low,low,NA
25,264,TRUE,2022-12-21T14:50:03Z,R_11jydrktt0zoQPE,yes,25,1440x900,8.097,8.097,158.925,1,27,100,5,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,39,Female,5,Other,I have read this text carefully,Medical innovation,25,high,high,NA
26,486,TRUE,2022-12-21T14:51:24Z,R_2dmqHwlInTdpG7v,yes,26,1920x1080,26.474,299.159,300.104,4,65,59,5,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,43,Male,0,Other,I have read this text carefully,Medical innovation,26,high,low,NA
27,422,TRUE,2022-12-21T14:52:23Z,R_2az3sFsRqvlak9l,yes,27,1920x1080,39.676,39.676,251.032,1,85,93,6,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,32,Male,2,2-3 times a week,NA,Medical innovation,27,high,high,NA
28,275,TRUE,2022-12-21T14:52:29Z,R_3Mt9P67t2Xd0OcU,yes,28,428x926,4.287,7.369,143.698,3,58,58,4,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,37,Male,1,Other,I have read this text carefully,Medical innovation,28,high,high,mobile
29,337,TRUE,2022-12-21T14:52:52Z,R_1NwR3tloicvP9xg,yes,29,1536x864,7.44,7.44,186.524,1,0,74,4,Strongly disagree,Agree,Agree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Disagree,29,Male,0,Other,I have read this text carefully,Medical innovation,29,high,low,NA
30,162,TRUE,2022-12-21T14:53:06Z,R_2Ufmh25Ix7X7G2H,yes,30,1920x1080,6.958,6.958,70.091,1,0,79,5,Agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,35,Male,0,Other,I have read this text carefully,Medical innovation,30,low,low,NA
31,609,TRUE,2022-12-21T14:53:48Z,R_1NySLwr8hzDSwAl,yes,31,1536x864,17.383,17.383,280.102,1,10,2,5,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,38,Female,1,Other,I have read this text carefully,Medical innovation,31,low,low,NA
32,406,TRUE,2022-12-21T14:53:55Z,R_USkxxa3W4txP1nj,yes,32,1366x768,27.749,27.749,261.864,1,60,66,6,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,32,Male,15,Other,I have read this text carefully,Medical innovation,32,low,low,NA
33,899,TRUE,2022-12-21T14:54:31Z,R_2VKpOvs5BsNUth5,yes,33,1536x864,16.268,16.268,347.935,1,40,100,5,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,39,Female,2,Other,I have read this text carefully,Medical innovation,33,low,high,NA
34,452,TRUE,2022-12-21T14:54:45Z,R_1IFuMOtcxzkzAeX,yes,34,1024x576,4.768,240.932,241.567,10,55,50,6,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,55,Male,3,Other,I have read this text carefully,Medical innovation,34,low,high,NA
35,422,TRUE,2022-12-21T14:55:16Z,R_1n1qvJEkdCi7Kod,yes,35,1440x900,67.924,67.924,68.725,1,20,17,5,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,29,Male,0,Other,I have read this text carefully,Medical innovation,35,high,low,NA
36,1117,TRUE,2022-12-21T14:55:27Z,R_5hjACAGFz7afWxj,yes,36,1536x864,0,0,5.494,0,69,67,5,Neither agree nor disagree,Agree,Disagree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,35,Male,2,Other,I have read this text carefully,Medical innovation,36,high,high,NA
37,351,TRUE,2022-12-21T14:55:35Z,R_BxNOZnwGnT29gY1,yes,37,1920x1080,8.466,8.466,202.613,1,70,83,6,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,33,Female,1,Other,I have read this text carefully,Medical innovation,37,low,high,NA
38,302,TRUE,2022-12-21T14:56:06Z,R_1pzK6MaLlYYZb9E,yes,38,390x844,3.695,26.599,81.669,4,25,7,2,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,32,Male,5,Other,I have read this text carefully,Medical innovation,38,high,low,mobile
39,239,TRUE,2022-12-21T14:57:00Z,R_29j1qeV4nHbN3md,yes,39,1707x960,7.294,7.294,78.728,1,60,71,4,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,33,Female,1,Once a week,NA,Medical innovation,39,low,high,NA
40,510,TRUE,2022-12-21T14:58:05Z,R_Zww3f0dZMjtEarv,yes,40,1920x1080,6.726,6.726,322.314,1,35,25,5,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,33,Male,6,Other,I have read this text carefully,Medical innovation,40,low,low,NA
41,622,TRUE,2022-12-21T14:58:48Z,R_1OPMZ8aJF72tzB9,yes,41,1920x1080,32.678,32.678,339.653,1,86,95,6,Disagree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,66,Male,10,Other,I have read this text carefully,Medical innovation,41,high,high,NA
42,370,TRUE,2022-12-21T15:00:18Z,R_SK4wd6G3XkMzKJX,yes,42,375x812,3.863,9.998,214.036,3,10,25,5,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,38,Male,1,Other,I have read this text carefully,Medical innovation,42,high,low,mobile
43,215,TRUE,2022-12-21T15:02:08Z,R_3PZgMOWK9KRA8J5,yes,43,1920x1080,1.52,11.161,137.185,6,70,68,4,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,28,Male,5,4-6 times a week,NA,Medical innovation,43,high,high,NA
44,160,TRUE,2022-12-21T15:02:23Z,R_3PFEbgNwXYLkaLt,yes,44,1920x1080,6.586,7.11,52.322,2,10,19,3,Disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,34,Male,1,4-6 times a week,NA,Medical innovation,44,low,low,NA
45,300,TRUE,2022-12-21T15:02:48Z,R_vSo6m2ExNP26xrz,yes,45,1920x1080,3.811,10.073,185.787,2,60,66,5,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,32,Male,1,Other,I have read this text carefully,Medical innovation,45,low,low,NA
46,504,TRUE,2022-12-21T15:03:04Z,R_2b464vXLuyP9z5n,yes,46,414x896,7.15,305.445,306.844,2,78,87,6,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,45,Female,2,Other,I have read this text carefully,Medical innovation,46,high,high,mobile
47,226,TRUE,2022-12-21T15:03:34Z,R_2thFwSMBkMtmQXi,yes,47,384x824,0.892,7.794,109.04,2,80,30,5,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,40,Male,2,Once a week,NA,Medical innovation,47,low,low,mobile
48,238,TRUE,2022-12-21T15:03:48Z,R_3PZXLY73x9K4DtR,yes,48,1536x864,5.261,7.653,132.137,2,100,100,7,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,46,Female,0,Once a week,NA,Medical innovation,48,low,high,NA
49,550,TRUE,2022-12-21T15:03:54Z,R_28UncvEQ2jshYQS,yes,49,1366x768,23.892,33.497,329.965,2,25,24,4,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,56,Male,16,Other,I have read this text carefully,Medical innovation,49,high,low,NA
50,150,TRUE,2022-12-21T15:05:32Z,R_3GkeNpKB8MvRlH4,yes,50,1920x1080,0,0,17.556,0,57,92,4,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,35,Male,5,Every day,NA,Medical innovation,50,high,high,NA
51,290,TRUE,2022-12-21T15:06:22Z,R_3Rx94oHmR6mYjVl,yes,51,1920x1080,6.336,111.643,111.894,2,55,83,6,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Agree,26,Male,3,Every day,NA,Medical innovation,51,high,high,NA
52,462,TRUE,2022-12-21T15:07:01Z,R_1kH37sNIk5XIj9m,yes,52,360x780,9.007,184.915,185.544,3,80,81,6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,27,Male,2,Other,I have read this text carefully,Medical innovation,52,high,high,mobile
53,543,TRUE,2022-12-21T15:09:56Z,R_1NsOvq2PDJbV55Y,yes,53,1536x864,11.7,51.499,189.876,2,74,83,5,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Agree,51,Male,5,Other,NA,Medical innovation,53,low,high,NA
54,546,TRUE,2022-12-21T15:11:18Z,R_eDtraxpKqKeugaB,yes,54,1440x900,0,0,306.366,0,90,100,6,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,47,Male,15,Other,I have read this text carefully,Medical innovation,54,low,low,NA
55,373,TRUE,2022-12-21T15:11:29Z,R_10HOWmhxWvg8GxB,yes,55,1280x800,14.59,14.59,175.879,1,60,22,5,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,Disagree,Agree,Strongly agree,Neither agree nor disagree,28,Male,0,Other,I have read this text carefully,Medical innovation,55,high,low,NA
56,187,TRUE,2022-12-21T15:11:51Z,R_1dBwlbcw9WjhFf7,yes,56,390x844,1.858,97.943,99.092,4,60,86,6,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Strongly agree,28,Male,2,Other,I have read this text carefully,Medical innovation,56,low,high,mobile
57,685,TRUE,2022-12-21T15:12:50Z,R_3PLe4psHEPYBLfp,yes,57,1536x864,12.098,12.098,333.412,1,3,0,1,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,69,Male,35,Other,I have read this text carefully,Medical innovation,57,low,low,NA
58,185,TRUE,2022-12-21T15:13:28Z,R_eh5DeNqJpIXGLBL,yes,58,1280x720,6.804,6.804,95.527,1,82,45,6,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,35,Male,5,Other,I have read this text carefully,Medical innovation,58,high,low,NA
59,253,TRUE,2022-12-21T15:13:37Z,R_2SHXeYKyLTsk0vF,yes,59,1920x1080,4.979,4.979,81.449,1,78,83,6,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Neither agree nor disagree,32,Male,5,Other,I have read this text carefully,Medical innovation,59,high,low,NA
60,240,TRUE,2022-12-21T15:13:39Z,R_3DkaYMjkf5C82K5,yes,60,2560x1440,9.022,9.022,43.475,1,10,31,5,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Disagree,31,Male,2,Other,I have read this text carefully,Medical innovation,60,low,high,NA
61,264,TRUE,2022-12-21T15:13:49Z,R_r3hUvnfVv2J1X7r,yes,61,2560x1440,0,0,5.205,0,57,58,5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,39,Male,14,Other,I have read this text carefully,HR technology,61,high,low,NA
62,117,TRUE,2022-12-21T15:15:06Z,R_1FgfBAISGDbXNGO,yes,62,1920x1080,2.697,2.697,51.079,1,72,18,5,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,25,Male,0,Other,I have read this text carefully,Medical innovation,62,low,high,NA
63,387,TRUE,2022-12-21T15:15:34Z,R_22zdVPbQKWSEfJx,yes,63,1920x1080,10.738,280.527,281.314,4,84,24,6,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,31,Male,2,Other,I have read this text carefully,Medical innovation,63,high,high,NA
64,901,TRUE,2022-12-21T15:16:43Z,R_1KdLR990RPs99Yi,yes,64,1536x864,9.896,9.896,334.011,1,10,67,5,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,48,Male,13,Other,I have read this text carefully,Medical innovation,64,high,low,NA
65,175,TRUE,2022-12-21T15:17:14Z,R_AB8sAIaiArGMXfP,yes,65,1920x1080,4.642,4.642,94.592,1,60,19,5,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,52,Male,1,Other,I have read this text carefully,Medical innovation,65,low,low,NA
66,170,TRUE,2022-12-21T15:18:35Z,R_2vcuynBxxnoZYOe,yes,66,1536x864,6.778,6.778,65.477,1,88,88,6,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,44,Female,8,Other,I have read this text carefully,Medical innovation,66,high,low,NA
67,97,FALSE,2022-12-21T15:18:44Z,R_1r0Kk0ujKBG91A5,yes,67,360x800,7.276,7.276,9.182,1,70,79,5,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,37,Female,0,NA,NA,NA,67,low,high,mobile
68,318,TRUE,2022-12-21T15:20:05Z,R_1kIHAorp1NzCl7l,yes,68,1920x1080,3.24,21.553,106.121,2,21,25,2,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,38,Male,10,Other,I have read this text carefully,Medical innovation,68,high,low,NA
69,411,TRUE,2022-12-21T15:20:46Z,R_1oBV1wzbJ9kpgEU,yes,69,1680x1050,8.047,8.047,237.919,1,35,23,5,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,78,Male,25,Other,I have read this text carefully,Medical innovation,69,high,high,NA
70,333,TRUE,2022-12-21T15:21:09Z,R_VRnKWqYFiWQk0pj,yes,70,1920x1080,7.129,9.719,208.918,3,20,17,5,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,28,Male,3,Other,I have read this text carefully,Medical innovation,70,low,high,NA
71,214,TRUE,2022-12-21T15:22:30Z,R_DB7jXnpxSHPmQDv,yes,71,393x808,0.883,6.304,106.487,4,75,68,6,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,36,Female,10,Other,I have read this text carefully,Medical innovation,71,high,high,mobile
72,1248,TRUE,2022-12-21T15:22:39Z,R_302h0ijnApQm4Pf,yes,72,1366x768,19.624,754.038,755.184,2,50,35,5,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,32,Female,0,Other,i have read this text carefully,Medical innovation,72,high,high,NA
73,100,TRUE,2022-12-21T15:22:48Z,R_33j6iUtYyx8x7Bb,yes,73,1280x800,5.641,5.641,24.953,1,70,70,6,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,27,Male,1,Every day,NA,Medical innovation,73,low,high,NA
74,453,TRUE,2022-12-21T15:23:00Z,R_3EiOR3zVK8osnHI,yes,74,1536x864,169.737,169.737,345.44,1,100,100,5,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,39,Male,5,Once a week,NA,Medical innovation,74,high,high,NA
75,816,TRUE,2022-12-21T15:23:20Z,R_231pfpGm6iqaaXR,yes,75,320x712,2.113,324.609,325.394,4,75,31,7,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,68,Female,0,4-6 times a week,NA,Medical innovation,75,low,high,mobile
