uuid,linkname,date_visit,atypical,duration,completion
00c747cd458f8acc2eb2a39263cc946f@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,0,0
00d1ff7e37a5eb5c781d55fcf6bef74d@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,22,.079999998
00d9151bba1ae52a4048b35adcaa049b@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,0,0
00e191feeaf9c0365138a2da02ddcbb9@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,0,0,0
00e1d04bffbfc8ea9d3cd0d85df4b60c@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,21,.079999998
00efcdbea2edec9d4b5207d2c27e43de@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,21,.079999998
00fd68ec5835e127867d718eddbd9ea5@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,5,.079999998
0104cf5a820d429c620c52c5e89dad39@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,10,.079999998
010a91a199ce6671a85fef39ee154113@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,10,.079999998
010aa46dae3675c82a6a8cc1b7f27ce5@prksq.com,High Fluency/High Quality - PerkSouq,19jan2023,0,145,1
01140e00f893b30c5240021cc9998509@prksq.com,Low Fluency/High Quality - PerkSouq,19jan2023,0,93,.92000002
01227b459b585b44b531d27181e612fd@prksq.com,High Fluency/High Quality - PerkSouq,20jan2023,0,471,.92000002
01227b459b585b44b531d27181e612fd@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,0,42,.17
013382ac779d6e002915d3fe13927689@prksq.com,Low Fluency/Low Quality - PerkSouq,18jan2023,0,0,.41999999
01383c891e4472ab1790cc9765e87480@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,0,152,.67000002
013e10acc56c0e5b578307df6e283416@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,0,0
013e10acc56c0e5b578307df6e283416@prksq.com,Low Fluency/Low Quality - PerkSouq,17jan2023,0,46,.92000002
0140fa7dbf625d5d734943344e477e3c@prksq.com,Low Fluency/Low Quality - PerkSouq,19jan2023,0,5,.92000002
01496a112f71fc047e005bf231a367bc@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,0,0
014e14ee0cbb5462d4bfe40b1a11820a@prksq.com,High Fluency/High Quality - PerkSouq,19jan2023,0,15,.57999998
01538032766fa7e55165f8299e236e53@prksq.com,High Fluency/High Quality - PerkSouq,17jan2023,0,91,1
01538032766fa7e55165f8299e236e53@prksq.com,High Fluency/High Quality - PerkSouq,17jan2023,0,311,.079999998
0159bb568845e662699725b0c569de43@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,0,0
015e0de55a0657b8ed4da6cfd3e1fdde@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,0,0
0170e03a1c3fe5ea6675bc8e1d0e583e@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,10,.079999998
0170e03a1c3fe5ea6675bc8e1d0e583e@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,0,29,.33000001
0170eabdbff6804082034e8afc943d3e@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,24,.079999998
0178b31b7cbdf868b2a613aa19749178@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,21,.079999998
0178b31b7cbdf868b2a613aa19749178@prksq.com,Low Fluency/High Quality - PerkSouq,17jan2023,0,99,.75
01791eea4484e4b845302fcd9108d0c9@prksq.com,Low Fluency/Low Quality - PerkSouq,18jan2023,0,55,.57999998
01791eea4484e4b845302fcd9108d0c9@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,10,.079999998
017c5d025587c9cd120d7e2b3b96259f@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,10,.079999998
018b53644ede59cedafac62e29924bbd@prksq.com,High Fluency/High Quality - PerkSouq,18jan2023,0,46,.41999999
018b53644ede59cedafac62e29924bbd@prksq.com,High Fluency/High Quality - PerkSouq,18jan2023,0,46,.41999999
018bd8e09de104a3022863e545273205@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,0,0
01a8c16f69fb06a292be617bd4a17416@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,38,.079999998
01ab31c1ebc06871e03b332200e57b69@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,0,24,.079999998
01abdf9942aaf60b3761135187941826@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,43,.079999998
01ac7f9f378cc2ebe9efa76613f28e8e@prksq.com,Low Fluency/High Quality - PerkSouq,17jan2023,0,5,.33000001
01b34cd3935506a3d3f0a2321e7cda98@prksq.com,High Fluency/High Quality - PerkSouq,18jan2023,0,231,1
01b34cd3935506a3d3f0a2321e7cda98@prksq.com,High Fluency/High Quality - PerkSouq,19jan2023,0,107,.92000002
01b911e576a32ca2a54eef44a8c8cd15@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,0,0
01bafab4b98f37bdc1117a681403863c@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,0,0,.82999998
01bec072d57e5887a53e611c7cc30893@prksq.com,Low Fluency/High Quality - PerkSouq,18jan2023,0,90,.82999998
01bf32ffb31d619612118c0c89ad9c24@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,0,0
01bf32ffb31d619612118c0c89ad9c24@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,0,0
01d24e0668d4112806b413091e1b1038@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,10,.079999998
01d60112a5f7bbc46ba8753d5b9c1717@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,21,.079999998
01de243498833d9314254cab9028c396@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,21,.079999998
01e10b6811bc82a629e94f723ebd89eb@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,0,0
01e856499c297fee998eb0db0ae03e96@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,10,.079999998
01efd1c37744e280072037f5c567a1ab@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,11,.079999998
01f03c92420109160875a062d9ab38d8@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,0,64,.92000002
01f03c92420109160875a062d9ab38d8@prksq.com,High Fluency/High Quality - PerkSouq,18jan2023,0,329,1
01f1f2daf91bd89987f0f041a83b6304@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,23,.079999998
01f1f2daf91bd89987f0f041a83b6304@prksq.com,High Fluency/High Quality - PerkSouq,18jan2023,0,65,.92000002
01ffe53d5a929908035225c67d7d247b@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,21,.079999998
0205980496cbab0397ca773ffa1d490a@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,21,.079999998
0206890e51ab005946b2e4cd0fc1a656@prksq.com,High Fluency/High Quality - PerkSouq,18jan2023,0,79,.41999999
020923bf96fd8e20dd5c753d0ba2b636@prksq.com,Low Fluency/Low Quality - PerkSouq,18jan2023,0,0,1
020923bf96fd8e20dd5c753d0ba2b636@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,0,0
0211b1b57ab1f3558bc18b632c639c8c@prksq.com,Low Fluency/High Quality - PerkSouq,18jan2023,0,75,1
021406cb9096a3ae6dbe521156953821@prksq.com,Low Fluency/Low Quality - PerkSouq,18jan2023,0,112,.82999998
0218915525dcbbaedf32d67765ee5571@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,47,.079999998
02234a540c990723f23f2575687c2c9e@prksq.com,High Fluency/Low Quality - PerkSouq,17jan2023,0,183,.25
022437d1b2925d4a66708f6f5c4ee351@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,10,.079999998
022c99560209ab7f68a9885fed8caa6e@prksq.com,High Fluency/Low Quality - PerkSouq,18jan2023,0,194,1
0238bf55634e6206131a1abb109b4e79@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,0,69,1
0238bf55634e6206131a1abb109b4e79@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,10,.079999998
023c4c3d2bd9cbb9536f41f449874a15@prksq.com,Low Fluency/Low Quality - PerkSouq,20jan2023,0,84,.67000002
023c4c3d2bd9cbb9536f41f449874a15@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,23,.079999998
023cda5d31b3357c0dd992e5c651cf95@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,23,.079999998
0247cc7cc424cbc220f554116101fe2f@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,23,.079999998
0247cc7cc424cbc220f554116101fe2f@prksq.com,High Fluency/Low Quality - PerkSouq,17jan2023,0,61,.82999998
0247cc7cc424cbc220f554116101fe2f@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,21,.079999998
0256b6c6476c5913092c304e38cdd1df@prksq.com,Low Fluency/Low Quality - PerkSouq,17jan2023,0,153,.75
0257486e084f4f3d74b9db1ee7d78b2f@prksq.com,Low Fluency/High Quality - PerkSouq,19jan2023,0,2,.5
025a40324bf53a80165e4f436454f126@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,21,.079999998
02619f584ce97666ce147c95526b8dd6@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,0,0
02619f584ce97666ce147c95526b8dd6@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,0,0
02619f584ce97666ce147c95526b8dd6@prksq.com,Low Fluency/Low Quality - PerkSouq,18jan2023,0,132,.5
026ca15f440c4656f4f375c267918aa6@prksq.com,Low Fluency/Low Quality - PerkSouq,17jan2023,0,18,.82999998
026ca15f440c4656f4f375c267918aa6@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,0,0
026ce40bbe52ed360368495c8330195f@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,22,.079999998
02704650135fc2000b7c1f579fb6261d@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,0,0
02704650135fc2000b7c1f579fb6261d@prksq.com,High Fluency/Low Quality - PerkSouq,19jan2023,0,16,.67000002
02721e5d920c8764c002add87600fef4@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,23,.079999998
02721e5d920c8764c002add87600fef4@prksq.com,Low Fluency/Low Quality - PerkSouq,20jan2023,0,2,.25
027224d17de7971854738f749dec1c34@prksq.com,High Fluency/High Quality - PerkSouq,18jan2023,0,6,1
027224d17de7971854738f749dec1c34@prksq.com,High Fluency/High Quality - PerkSouq,19jan2023,0,34,.75
027224d17de7971854738f749dec1c34@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,10,.079999998
02758a87ec5bc2bfe68b32ed45f6473c@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,0,133,1
028fa1a3116729a33fc39c8112ec7fa0@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,10,.079999998
028fa1a3116729a33fc39c8112ec7fa0@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,0,67,.82999998
02907065ed050528fbe7d7b6f0482175@prksq.com,Low Fluency/High Quality - PerkSouq,18jan2023,0,9,.75
0291be4fa987bafe63974e3a64fae4ba@prksq.com,Low Fluency/Low Quality - PerkSouq,18jan2023,0,132,.41999999
0294031b61489907e7da7b9861604357@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,21,.079999998
0294031b61489907e7da7b9861604357@prksq.com,High Fluency/Low Quality - PerkSouq,19jan2023,0,1,1
029bce8d6559f1e2c98c71490c7d88ed@prksq.com,High Fluency/Low Quality - PerkSouq,17jan2023,0,43,.079999998
029e4c1911038e862b58399f0bb5ee32@prksq.com,Low Fluency/Low Quality - PerkSouq,19jan2023,0,58,.92000002
029e4c1911038e862b58399f0bb5ee32@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,0,0
02a225dca9d0acd813fc5451feddd25b@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,21,.079999998
02a805a8a6dd83e488fe333f8b3ea714@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,21,.079999998
02c791b9c7373f1cd5ff57ede50855d2@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,22,.079999998
02c89d3c8506fa6b372966d8fe08e380@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,27,.079999998
02cb04efb1759985ae2f0a17bdc49505@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,21,.079999998
02ceb411144dd25195eb6d0ac2dbb468@prksq.com,Low Fluency/High Quality - PerkSouq,18jan2023,0,358,1
02d1c8fb7dba735bc43797fb7aabe30c@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,2,.079999998
02dabde2d863d74332d06b2e5176ddd3@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,0,74,.67000002
02e74f8dc70dc57455c7debfc0ef88e4@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,0,0
02e9253279e83ceffdaa678b56415469@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,0,0
02eddb4981b3f9bbc97a5e74d3734bd9@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,0,0
02ede6ca649227c72f51dc20e06974d9@prksq.com,Low Fluency/Low Quality - PerkSouq,18jan2023,0,98,.25
02ede6ca649227c72f51dc20e06974d9@prksq.com,Low Fluency/Low Quality - PerkSouq,04feb2023,0,131,.67000002
02eef8d51866247defd483474a584c38@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,21,.079999998
02f1c54400b4f47aee229a89bf7daeef@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,23,.079999998
02f204a969a99f2a92d2c900aec4c849@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,0,172,.25
02f204a969a99f2a92d2c900aec4c849@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,10,.079999998
02f797c7388366a25a98d51dea7b1da6@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,21,.079999998
0307a295a6f09d770c4bee03aba6f848@prksq.com,Low Fluency/High Quality - PerkSouq,21jan2023,0,93,1
0307a295a6f09d770c4bee03aba6f848@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,23,.079999998
0307a295a6f09d770c4bee03aba6f848@prksq.com,Low Fluency/High Quality - PerkSouq,17jan2023,0,43,.75
0307a295a6f09d770c4bee03aba6f848@prksq.com,Low Fluency/High Quality - PerkSouq,30jan2023,0,250,.75
0313147b8c8a3160fa6c4cf86d119fe7@prksq.com,High Fluency/High Quality - PerkSouq,18jan2023,0,9,.41999999
0313147b8c8a3160fa6c4cf86d119fe7@prksq.com,High Fluency/High Quality - PerkSouq,18jan2023,0,111,.92000002
03185dadc5ce3f0b14d12739204e87f3@prksq.com,Low Fluency/High Quality - PerkSouq,19jan2023,0,102,.5
03256699ce85a0aebed7288454429f3d@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,25,.079999998
03256699ce85a0aebed7288454429f3d@prksq.com,Low Fluency/Low Quality - PerkSouq,18jan2023,0,198,.92000002
03292409bb4209dfd074adc3abf3f3f1@prksq.com,Low Fluency/High Quality - PerkSouq,17jan2023,0,53,1
032b18987b3d593211c544b0d2884c1e@prksq.com,Low Fluency/High Quality - PerkSouq,18jan2023,0,9,.25
033b15b32e79e3a850317d4436fe14b0@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,14,.079999998
033c1423c7ea6a243b9e72360502ee2d@prksq.com,High Fluency/High Quality - PerkSouq,19jan2023,0,105,.17
033fcb389fbf98da08da91cf013cdee2@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,10,.079999998
033fcb389fbf98da08da91cf013cdee2@prksq.com,High Fluency/High Quality - PerkSouq,18jan2023,0,11,.57999998
0343e5a6c856f98abe5d64710a68e299@prksq.com,Low Fluency/Low Quality - PerkSouq,18jan2023,0,178,.5
03597d9343366bec67689d5aab1c5d61@prksq.com,Low Fluency/High Quality - PerkSouq,19jan2023,0,342,.82999998
03597d9343366bec67689d5aab1c5d61@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,10,.079999998
036071f858605cce14f58be1ffd5b0ae@prksq.com,Low Fluency/Low Quality - PerkSouq,17jan2023,0,34,.41999999
036bdba8c9ff551f415464a848b4ba1b@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,21,.079999998
03705157dada569456aeba12ee763ee8@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,21,.079999998
03753b6c975437f1086a47decf3f7e09@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,21,.079999998
03753b6c975437f1086a47decf3f7e09@prksq.com,Low Fluency/High Quality - PerkSouq,20jan2023,0,9,.67000002
0377001043e3ee3cd00d5062e96dd21b@prksq.com,High Fluency/Low Quality - PerkSouq,18jan2023,0,0,.75
0377001043e3ee3cd00d5062e96dd21b@prksq.com,High Fluency/Low Quality - PerkSouq,02feb2023,0,57,.57999998
03789b61e9ebae920f81882293c5c2a3@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,10,.079999998
037e59cd443ab28b16a2ff3ac940289c@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,10,.079999998
037ef39c86aef054c338eb8a363895ec@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,0,45,.41999999
037ef39c86aef054c338eb8a363895ec@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,23,.079999998
03818cd905f016169aac1735b6ab4af5@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,10,.079999998
038315fc9f762d2eb1574b133954f842@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,0,0
03858d9bc59f4a15ed3eab17fddf834d@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,0,0
03858d9bc59f4a15ed3eab17fddf834d@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,0,133,.41999999
0387e9aabbb4a8694cd6942a511dc83e@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,0,166,.41999999
0389b281afdcfded5d3d373a54d02cf8@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,0,0
038b57b4316c2e43f97f6a5032a6a81b@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,10,.079999998
038fbea67dba01e7c0ee698ec90286c5@prksq.com,High Fluency/Low Quality - PerkSouq,18jan2023,0,38,1
0397d3aa92c0da9ae3edbd4d505af473@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,0,0
0398a3ac4b80810e43cb03ca69a15795@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,23,.079999998
03990946b2e56628d16c53ad1aab9860@prksq.com,High Fluency/High Quality - PerkSouq,18jan2023,0,154,1
039b706d5b23d2c53d68178558031314@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,0,0
039c9142e8e286977f769b1c1f82a70b@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,0,0
039db940f45ca273fbc7977d5109778f@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,0,0
03a66059682b40e97e2be1eff13f44bc@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,29,.079999998
03ad56f48bc0d148248da131d0811419@prksq.com,High Fluency/Low Quality - PerkSouq,19jan2023,0,0,.25
03af49b6d03e2e07c02969594df6c340@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,22,.079999998
