message_id,content,positive_RA1,category_RA1,positive_RA2,category_RA2,AGREED,CAT_AGREED,positive_db,positive_sm,category_db,category_sm,vote_resolved,category_resolved,final_vote,final_category,final_category_standardized
O2x42bnJFYdnITnP1kMR9tV+eWzkKoagP0VbGI1FtLOz,"Sorry, not the right fit for us.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
McgBLRSl4IVxXWM4WS5l0RCo7vysyZd4iQ3S26jZkXgX,"Your pitch is intriguing, but it's not a fit for our current investment focus.",0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
g+f=e3p-ODEre3IEkRf7pyyf4vRi223W0wSRpadmFY=r,Not something we're currently pursuing.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
kjAG0TT5oqbT0wZZi5o1ORjny-3ZmpyqAC+Rmo-SS4RK,"We are interested in your startup, Pier. Can you clarify your funding requirements and desired deal structure?",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
cgSg6jW6FMUeG7NJ4FOXjcgEgTMuuzr=SsRQ=5kBS7OB,Not our focus.,0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
ejRqA1cT8Lc0t1gXDkfVaTmZszTJ9QVrbF3TKGsn5nEj,"Hi Pier, Thank you for including us in your outreach. Unfortunately this opportunity isn't a good fit for our fund. Perhaps a VC on this list [URL] may prove better suited. Wishing you success,",1,referral,0,no specific reason,0,0,0,1,industry,referral,0,industry,0,industry,industry
2mJDkOtKRCADB9GXrg=AL63-JoAb00-Hpoo3hE0SI-Vf,Unsubscribe,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
geEE9r2HleTtAZOg09jxJpmFj7H54FcuA400dtGEeejc,"We appreciate your pitch, but we are not active in the medical devices or pharma sectors at this time.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
UgOYSNKb1+Po64i86wzHUmipTeOgEgJf37vm5E3PU5o2,No. Thank you,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
4EK9WkVAqtdcq=JAJtikzjrkVOizyf7VIEU6PlNJe2y0,It would be helpful to have more detail on the patient population studied and the results of your clinical trials across different cohorts.,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
p4IdJwqPnf1CIpRbfT7bZ8baS5oOpWoGr0BqhNPV16a0,Hi Pier -- I know next to nothing about this space but wish you all the best!,0,industry,0,no specific reason,1,0,,,,,,industry,0,industry,industry
awQta4h=26QVQQSO0MFBhL=RMCumAsGYcxgaSrf3kM8E,"Dearn Pier, Thanks for the information on the business. We did have a chance to review the materials, and, unfortunately, we will not be able to move forward at this time. Our overarching goal is to respect an entrepreneurs time and only dig in further when we can see a clear path to investment. We wish you the best of luck. Please remember that the door never closes, and we would be happy to stay in touch.",0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
hUCY4MzgXCk3B1WCfugs8ZxtfsnUIqINFUFYV1IPCfYE,Why me?,1,more info/clarification,0,no specific reason,0,0,0,0,no specific reason,no specific reason,0,no specific reason,0,no specific reason,no specific reason
AP2KWdbbOmkCxxNclDPgoO0AvscrtS5RKofB53sCGWvj,"Thank you for reaching out, however, this isn't a fit for our fund. We wish  you the best of luck building the business though!",0,portfolio conflict,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
Q6gdbImlIvc3EPdLVBOH91yHKpOS2N5gB+HM+c6MvC1=,"Pier, Thanks for reaching out. [NAME] forwarded your note to me because I lead investment sourcing at [FIRM]. While this sounds like an exciting opportunity, it's not in a current area of focus for us so we'll have to
pass on investing. That said, we'll be rooting for the company's success.",0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
dtN5SI2=sJ8SzGnWVwH3A96Z=qXiCog1aqkUyPl028Qa,UNSUBSCRIBE,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
Dp=RyjHHLSUebHh9qpujAHxeLr5zLslOEoXr=plEEjh0,New Event: [NAME] - 30 Minute Meeting,1,click on link (meeting),1,click on link (meeting),1,1,,,,,,,1,click on link (meeting),meeting
5fqbn4YIYDa9BpWTwzAmaTwnJw11tQ0AycBymF+k8Q1t,"Hi Pier, I'm not an investor in startups for the time being. Congrats on launching the raise and best wishes.",0,no investments,0,no investments,1,1,,,,,,no investments,0,no investments,no investments
KJh4I74CXipeWu9By-5HMke5SrcmLUvhCuhaff=e2w9h,No thanks I do fintech,0,industry,0,industry,1,1,,,,,,,0,industry,industry
xz=f4ki+nem0VHztjqDES24TamefaPnJmXeQpsVJ2L12,The results of your clinical studies are an important factor in our evaluation of your startup. Can you provide more information on the methodology used and the key findings from these studies?,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
R9KJBpL9vKHgiWtkau2UHBQO4x5up7gL5bfcWRa1ZALL,"While we are impressed with your vision, we prefer to invest in companies that have already demonstrated some traction in the market.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
E-ZQqg839ccJviFKIq9mK4TFtYsyMV3HmOs8laK7rf8Z,Not within our investment capacity.,0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
Y9fy6AvUwBUheKflXf05sSWOT546U5RiTrUGYWHPpBsH,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
Wv9=aNZ5qGBWa1Mt-BlrLZZQD1RtWBu12op1ZACF=GtJ,"Unfortunately, we're unable to invest at this time.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
97pwSwY+aHBF9QUlL7Pnrf3GaH7SCQgycXsBgX7awwk,Not within our investment expertise.,0,industry,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
Tjl4inXMJhJjCT8PGkfXa5A39IxouKR5ADW-1bbWZS6Z,Not a viable investment opportunity for us.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
CBNXa+G7ixkHRYaTDOLdASp1Qu+SEEww1w9vkL=HQOZm,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
x5d2PYCANwtHMGrZNHeTyqGH+jG+jN2JNuUCnTmuE9DP,"Hi Pier, we were intrigued by your pitch for Brachytix. However, we noticed that your pitch deck did not include any mention of competitors in the pharma industry. Can you provide us with more information on this?",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
K62z1VXTVrUYIvV5BHcS3luPGC1x5cC8znZ2h0JOES+O,"Hi Pier, Thank you for your email, looks interesting. Could you kindly submit an application on our web site at [URL]? We will then review in detail and get back to you as soon as possible. Thank you.",1,formal application,1,formal application,1,1,,,,,,,1,formal application,formal application
SQFR2Djkv06vWtJ9xHyP5REq-ghnhK74QIylgeBwt6Q9,We are interested in your product. Can you provide more information about the team's background and expertise?,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
7luiIlOOhotmX4qP3Xbp9Eh+=wPvn-3tOFD2F48QRnDO,"Hi Pier, unfortunately too early for us. Sorry.",0,no specific reason,0,stage,1,0,,,,,,stage,0,stage,stage
HDc28TJt7jxzfCgupXkEKAbfsH1G6UHGg9syBsVjzSMx,New Event: [NAME] - 30 Minute Meeting,1,click on link (meeting),1,click on link (meeting),1,1,,,,,,,1,click on link (meeting),meeting
NUgZkexQMN5fmrYLPMBpnmN66JCIvM=Ou-LXNR978JP=,sorry this is out of our area of expertise.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
7TQTb2=IEgRHfvt1+haBZPsrkqlsKehdKpf7DvoMtSjE,New Event: [NAME] - 30 Minute Meeting,1,click on link (meeting),1,click on link (meeting),1,1,,,,,,,1,click on link (meeting),meeting
7qCBSJkEyIbD5BcLFjfXW+NYrVc-dnSVU20E2hXN+4uR,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
uxmPU50ZNqudChCefs7Rqf32VL=U+=+3abXi-fkJCqh,"No, thank you for your interest.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
qY-eQwWy3-0y9ClMGFxPMJt3ltGT3m8M1g-H9G7ZEPbK,"Hi Pier, thanks for reaching out but we don't invest in pharma or biotech companies so we won't be a fit.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
riCRU-1gbz6Z+KmVNqk9d-MPlVv8USmtsQkMLBYjj6w2,Interesting. Happy to jump on call.,1,meeting,1,meeting,1,1,,,,,,,1,meeting,meeting
DMFRg5RMLfTSE8bSAJF+tZTdnm7=fpLsWHy06dTFDFPI,"Unfortunately, we're not interested in this opportunity at this time. But feel free to keep us updated on your progress.",1,updates,0,no specific reason,0,0,0,0,no specific reason,no specific reason,0,no specific reason,0,no specific reason,no specific reason
vqc0ZXmXvpp+a90Hf9jp0D3gIumwAcbKhGAMf86O4D=p,"We have looked over your startup and the pitch deck you have submitted. Although we are interested, we are not investing in early pre-seed stage companies at this time.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
7fuxn3W2DG5-1+rANHcLWazXaTNO12ZEM6qI7r0kgGTb,"Hi Pier, Thank you for the interest. This is outside of our investment sweetspot. I will pass on this opportunity; nonetheless we do appreciate your e=mail. Good luck with the fundraise and with your product development.",0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
8cGIEJzT8nTWu7Uw6lzt6k5e=YvYGbVi-Nac4ammLev=,"We appreciate your outreach, but we are not currently pursuing investments in the pharma industry.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
Uoavuv1y3lOKqne3evY771GyjPU8gHVKIAigIXco-ASS,I'm always open to a chat. I'm fairly open today except at 1 PM PST.,1,meeting,1,meeting,1,1,,,,,,,1,meeting,meeting
zuR9aZU06pTLNwwDsJFskO1fejccEC7c8X2y6UhGuHyF,"Sorry, we're not able to move forward at this time.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
OFxCwmjd4NMF3SE+aPTewHIsZWAS5x0FBavjnwRcaIVH,"Thanks for sharing your pitch with us, we'll keep it on file.",1,reviewing,0,no specific reason,0,0,0,1,no specific reason,reviewing,0,no specific reason,0,no specific reason,no specific reason
Rz2fI4Gmp=1i4Aj8Pas1CCgDO-+Ww+TNKGCs9u06OeIg,Not in our current pipeline.,0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
ZbOP+M1csCPHf3B=nVOXsgnOg6Dmm4VMh0p2ZqFRffb1,"Unfortunately, we are not currently investing in this area.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
LSJDCOreWUpC7yM+dOBmz-RKVM+3FJNQth+SzhVHjy84,"Your pitch is impressive, but unfortunately, we are not active in the drug development or medical devices sectors.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
vNv6Q6La1JHSl+q54Bls7Lp1STV0SVZSEelHQ8ARydU2,Unsubscribe,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
WiwwQaCtLlR1pQ5TETCg+28N0Nhm+kvQfqyGBHFesVEN,Not something we can invest in right now.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
p5ueGY6Hj7ydY8q7um=sKS-4+s8xReUwXh1Fpz3luL5=,"Hello Pier! Thank you very much for contacting [FIRM]! In order to fully review your proposal please submit your pitch via our typeform [URL]. The responsible team members who will then be in touch with you regarding next steps. Thanks again and we are looking forward to receiving your full proposal! Best regards,",1,formal application,1,formal application,1,1,,,,,,,1,formal application,formal application
FknZMfk439-zwGVw8vnR3X1qi=Co40i+uDPVmEOlpgWr,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
Yh-itQSOmHVwmnZ4dFGXykoGUClOuLz-WBDv8CbIzXq6,We found your pitch interesting. Can you share more details about your team's experience in this field?,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
R7xmn8q7GXeOP4KGjPOWzIQRv8ENm3BarTHTOZYO9R6R,"While we appreciate the time you put into your pitch, we're not currently investing in this area.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
GUYMDkN5jV7U8z-BFhFCfXXgF7BQxCb9M6am+AKaUmkA,"No, sorry.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
nGb=dSCFDhsQwlzBRolRLOzpnZClEqIOVh2lf3flU4LE,"Hi Pier, Thank you for reaching out.  At the moment I'm not active in the angel space.  I'm waiting for exits.  In general, they've all taken much longer than anticipated. Best wishes in your venture.",0,industry,0,no investments,1,0,,,,,,no investments,0,no investments,no investments
T+6HSJh84iZc6MYnVoOnUrCVnJdG2YhzxrmMM7Sc=+Ss,"Dear Pier, Thanks for reaching out. We will pass this time as Brachytix is off strategy for us as we solely invest in advanced therapeutics. I wish you the best of luck with the financing.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
yNRblcKCbJ-=pr+ivMuswkXjwfg4OnlB8KVC1jPXtgoK,sorry - only focussing on late stage,0,stage,0,stage,1,1,,,,,,,0,stage,stage
2bQwKiobhV-NWF6PobIe1h7-c9oP+HLrJArZm+VrHM0=,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
b0Cyv1ZN1dPxB1WdPjrysGkX1znBOp2-wuUci1yfrAzv,Hi Pier - looks good but I only invest via [FIRM]. Are you interested in participating in the [FIRM] program?,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
SNXy3Fozbp708KxolvjpNS+eH=8UTD9LFB0Y3UY=WZj5,We'll pass for now.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
4JDvnH4EdvG6Xw-i0xWEjC5djCtv=uTkGo=d1lZYLD=b,Thank you for sharing your pitch. Can you explain more about the pricing strategy and revenue model?,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
c88lnlM4HH2EUNBDDXScZbf6boakCwHWTotU0mMHJvk3,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
3PI49XrqeDsl+N=V=k=NuEz+OShUfaSSCS=N=35Ons2M,"No, thank you.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
pEufjIfusEYjiVKEormH5caHNZtjzz0DhHHtgtQHAzb,"We are impressed by your startup, Pier. Can you clarify your fundraising timeline and expected milestones?",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
HnMARiu-03UI7ynOuXabbJROzHBlfisZiLY5vLpTyR31,"Sorry, we cannot proceed with this opportunity.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
m4FxxXkLitFoe4uPsWVjD-CSDs4M=A-Jo6Ik7gdd=Dy7,Not in our investment scope.,0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
DUqI4VZzVvmoAevhbv9OXtck79Wud0GHQc1wc1pAnqw3,"Not an area of investment for us, best of luck.",0,investment strategy,0,industry,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
jtF7H6JkXGzSpqSYTl0a1cwY5Ff9fI7YTOQmGOjkM=ci,"Dear Pier, Thank you for contacting [NAME] and for your interest in [FIRM]. Unfortunately, we won't be able to proceed with your investment proposal as it is currently not in line with the focus of our funds and clients. We assume that you agree that we may keep your documents and, if necessary, notify you if we can offer suitable opportunities. Furthermore, we would be pleased if you would keep us informed about further developments of your company as we are constantly looking for new investment opportunities.",0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
h-aPW0YhS86vo3Ye1e-nmjUm1MHOkaEwW-z6M-RhfNgA,"Your startup looks interesting, but unfortunately, we are not currently investing in the medical devices or pharma sectors.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
xNBufFFQ3HQ0sas9mJJb1kHpl+TRfQUoMpTQ1G=SSE9y,New Event: [NAME] - 30 Minute Meeting,1,click on link (meeting),1,click on link (meeting),1,1,,,,,,,1,click on link (meeting),meeting
wRQ=niO6t36EwJ1OJ=5OzX138PR8eDJ6V7gE32V659F7,"Thanks, Pier.  Valor is a B2B SaaS investor at seed stage.  Good luck to you.  Sounds promising.",1,referral,0,industry,0,0,0,0,industry,stage,0,industry,0,industry,industry
kdOARAT6qmYJqYpa3iItgFqHGOzdxG4SKTz2uUzzKfIK,"We are focused on India, Pier. This does not seem to be a fit.",0,geography,0,geography,1,1,,,,,,,0,geography,geography
MhnFVGhMbVacAEyuHJUW5JA7KOGqKCi9doKW1=KMpRwQ,Not in our current priorities.,0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
R15s5-SdqyEnt2Z=Hb-Wunk6JpAY2bOr1L9EarvQ=aos,"Hi Pier, Thanks for the note, but unfortunately [FIRM] does not invest in the pharmaceutical drug development space.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
6nxYK8OZcA3-WzfeegokXxHwtGS4L-x7OeicV0ZEaOv-,Not in our investment thesis.,0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
ANtRXWNnWWchKt=CDCm+pAuIG1EWby2C04lYb+8Glhs1,"Hi Pier, Thanks for reaching out and hope you are having a wonderful week. Although Brachytix's technology is very interesting, it currently does not fit within our portfolios objectives. Wishing you all the best with the company.",0,portfolio conflict,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
p4hXUpx03s33H6JIyON3LYsHEnIVYFvtCRZwNrs8TWSb,"Thanks for reaching out, Pier! Unfortunately this would lie outside our India mandate, hence would have to pass on the opportunity. Wish you all the best!",0,geography,0,geography,1,1,,,,,,,0,geography,geography
3TWbmTyN=C-fkiEk=SLOsaRYxWUIA4WZkblwgcu5n7e0,Pier - The only constructive advice I would give you is to understand your target audience. We do not invest in pharma. Cold calling is hard enough but when you demonstrate you have done absolutely zero homework it is a waste of everyones time and energy. Good luck.,0,industry,0,industry,1,1,,,,,,,0,industry,industry
bQP=IxzmHkY5GBRW9Z7qcko4s2q0jqZYQYU5as1ceO+-,"Sorry, we don't invest in pharma or biotech.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
TJFixBvV7LfmSrk=IVGRZwsVQCmMpK9paCRytlucdHHU,"Hello, Thank you for your message.Please remove [EMAIL] from all mailing/distribution lists at your organization.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
NkyEVq12m0NInEtdhuJA6dkz033=lP7VeV-Nj66y3uIQ,unsubscribe,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
vinpt5v2bc7pNF1st4C5-CDTvPTjcT94tindvifHghXD,Not in our current pipeline.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
ZM+f9R+MnQhI4eheVZZ0v9qOLC=lpXUtf5zxnm+FVvqT,Not within our current investment mandate.,0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
VbEdlHfzBTNZkRLis2rq-TdgGhTs0zZOsm0D6an4oItm,"We appreciate the opportunity to review your pitch, but it's not a fit for our current investment strategy.",0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
QMTZhM0rOCIBbXDbGpwz=m6Q=2Q061wj1OmLpEijM9UI,"While we are intrigued by your concept, we typically only invest in companies that have already demonstrated significant progress and have a clear path to profitability.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
lezhmfp0aKi8sE8BsNmqHkeiGJcl62mST3beXuNmf3Yd,"thank you, Pier, but I am fully invested at this time.  Good luck!",0,no investments,0,no investments,1,1,,,,,,,0,no investments,no investments
FyyGeuzPE3REz0PtGc2EyyBo0QmD6CSBaIxazExw1=nj,"We've reviewed your pitch and appreciate the effort you put into it. However, it's not a fit for our portfolio right now.",0,portfolio conflict,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
KWlhX2SkF9AJ3BJ4QQHImGMkkJm=UjIlxg-SmNbScv+L,unsubscribe,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
MOQ-kw1vRUq+w3hb0F2+9FHbkAveIECmC=Qrj2km6+4q,"This is not within our firm's thesis, please unsubscribe this email address",0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
UennggKhUM0dUVE3dL=qSQFw8Nycd0zz=uQD7bq5vpYy,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
1zNJiWXDUSHxEi44jnX-Tee99u=TSUJ2rmdg-Y2kpzgz,"Unfortunately, our investment focus does not align with the pharma industry, but we appreciate your interest.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
WfQp+aJFJiBl5765jxMK=tChQ6F5Yh5EKK37UOrkXmvo,New Event: [NAME] - 30 Minute Meeting,1,click on link (meeting),1,click on link (meeting),1,1,,,,,,,1,click on link (meeting),meeting
RYmmqjlmZ2M3m4HI-MrMaQ231wz2ELN9W9qxSUKe4KD=,"Thank you for sharing your pitch, Pier. Can you provide more detail on your current financial position and burn rate?",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
AaXToSXv+cNG9EcbDwmFzjRwIXfC1HbCmd1=ETvMvJW3,New Event: [NAME] - 30 Minute Meeting,1,click on link (meeting),1,click on link (meeting),1,1,,,,,,,1,click on link (meeting),meeting
otTjbX5h4Me7QTcANZl=MQn68ioxXkG-poCvJiwGHPEr,Could you elaborate on how your approach differs from existing treatments and the results of your comparative studies?,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
ifH+GSHoWC3JQEmK4sXqvu0y2N-O7FnTR3rJDpVJTvRQ,"Hi Pier, Thanks for reaching out. Could you submit more information via our startup inquiry form? One of our representatives will take care of it",1,formal application,1,formal application,1,1,,,,,,,1,formal application,formal application
e86MDz6WUY1te1zsVJHAEsQYNEc9wuNv=Y9MCGVqXtAo,"Thanks for your pitch, but we are not currently investing in drug development or medical devices.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
T1kuejQqFELr12-gYYOoKlnBSl8=8Ym0QCRUwRjZ82uj,"While we appreciate your pitch, our investment mandate is restricted to certain geographic areas, and we regret to inform you that your startup does not meet this criteria.",0,geography,0,geography,1,1,,,,,,,0,geography,geography
1tu5PC60aishf7tzXFSg01lQ5uiyOiotQ6T3EZk+B9hM,"Your pitch is impressive, but we're currently not investing in startups that require a lot of capital at this time.",0,stage,0,no specific reason,1,0,,,,,,other,0,other,other
tnWvG=L+EOLrQmsLukY7ErEpZVKittotc1nplZ7f3=4X,"Dear Pier, I dont invest in single companies. But try [URL] I have there a position and can introduce you.",1,referral,1,referral,1,1,,,,,,,1,referral,referral
